,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
132,"Erstbezug: Luxus 4-Zi-DG-Wohnung mit Klimaanlage, EBK, Balkon, Tiefgarage in Berlin Wilmersdorf",https://www.immobilienscout24.de/expose/115109839,2064.0,270.14,0.0,2334.14,3,6 von 6,96.0,4,,2.0,True,True,2019.0,,Erstbezug,Fußbodenheizung,,,,,,"10825 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10825 Berlin,,Schöneberg,Schöneberg,21.5,TSch,Schön
133,schöne möblierte 2 zi-whg mit EBK balkon und aufzug im 2. og,https://www.immobilienscout24.de/expose/115433874,1500.0,230.0,0.0,1730.0,4500.00,2 von 6,68.0,2,1.0,1.0,True,True,2013.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10115 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10115 Berlin,,Mitte,Mitte,22.058823529411764,Mitt,Mitte
140,Modernisierte 2-Zimmer-EG-Wohnung nahe der Admiralbrücke in Kreuzberg,https://www.immobilienscout24.de/expose/115552984,997.83,100.0,75.0,1172.83,1600,0 von 5,76.17,2,2.0,1.0,,True,1889.0,2019.0,Modernisiert,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,BHV Berliner Hausbau- und Verwaltungsgesellschaft mbH,"10999 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10999 Berlin,,Kreuzberg,Kreuzberg,13.100039385584877,FrKr,Kreuz
141,Großräumige 3-Zimmer-Wohnung ca. 90 m² möbliert in Berlin-Frohnau,https://www.immobilienscout24.de/expose/113300215,1150.0,180.0,0.0,1450.0,3450,1 von 3,90.0,3,1.0,1.0,,True,1964.0,2013.0,Neuwertig,Gas-Heizung,Gas,liegt zur Besichtigung vor,,,Immobilienkontor Jakobsen UG (haftungsbeschränkt) Hermsdorfer Damm 177 13467 Berlin-Hermsdorf,"13465 Berlin-Frohnau, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13465 Berlin-Frohnau,,Frohnau,Reinickendorf,12.777777777777779,Rein,Reind
144,Schöne Wohnung im 3.OG! Für Handwerker*innen besonders geeignet! AB SOFORT und PROVISIONSFREI !,https://www.immobilienscout24.de/expose/115468369,498.0,60.0,40.0,598.0,3 Nettokaltmieten,3 von 4,40.0,1,,1.0,,,1912.0,,Renovierungsbedürftig,Zentralheizung,Erdgas leicht,liegt zur Besichtigung vor,,,casa.kontor GmbH,"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10247 Berlin,,Friedrichshain,Friedrichshain,12.45,FrKr,Frhai
146,Liebevoll modernisierte 2-Zimmer-Whg im Bergmannkiez - Moderne und Altbau im Einklang,https://www.immobilienscout24.de/expose/115350925,814.05,72.0,35.0,921.05,2340.00,1 von 5,49.5,2,2.0,1.0,,True,1867.0,2019.0,Modernisiert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,BHV Berliner Hausbau- und Verwaltungsgesellschaft mbH,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10961 Berlin,,Kreuzberg,Kreuzberg,16.445454545454545,FrKr,Kreuz
149,"Neu renovierte 2 Zimmer-EG-Wohnung in Tiergarten, Berlin",https://www.immobilienscout24.de/expose/115133306,655.0,135.0,0.0,790.0,1965,,58.0,2,,1.0,,,,2019.0,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,"10555 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10555 Berlin,,Tiergarten,Tiergarten,11.293103448275861,Mitt,Tierg
156,Exklusives Dachgeschoss im Herzen von Grunewald,https://www.immobilienscout24.de/expose/115547329,4550.0,1070.0,,5620.0,5808,3 von 3,238.0,"4,5",3.0,2.0,True,True,1909.0,,,Zentralheizung,,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"14193 Berlin, Grunewald (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14193 Berlin,,Grunewald,Wilmersdorf,19.11764705882353,ChWi,Wilmd
169,***Oben auf im Süden von Berlin*** Voll möbliertes Dachgeschoss-Apartment,https://www.immobilienscout24.de/expose/115400920,912.0,58.0,45.0,1015.0,2736,5 von 5,48.0,2,1.0,1.0,,,1905.0,,Modernisiert,Zentralheizung,Gas,,,,Artesia Immobilien GmbH Onkel-Tom-Str. 3 14169 Berlin,"12489 Berlin, Adlershof (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12489 Berlin,,Adlershof,Alt-Treptow,19.0,TrKö,Alttr
170,Sanierte 3-Zimmerwohnung in Spandauer Altbau,https://www.immobilienscout24.de/expose/114742633,736.0,126.0,124.0,986.0,2208.-,3 von 4,76.9,3,2.0,1.0,,True,1900.0,,Vollständig renoviert,Zentralheizung,Gas,liegt zur Besichtigung vor,,,cityofberlin Immobilien,"13595 Berlin, Spandau (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13595 Berlin,,Spandau,Spandau,9.570871261378413,Span,Spand
