,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
326,Oben ist es am Schönsten! Helle Familienwohnung!,https://www.immobilienscout24.de/expose/115227962,999.0,253.0,0.0,1252.0,Kaution: 2997.00,4,84.55,3,,,,,1995.0,,Saniert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 96, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),96,Reinickendorf,11.815493790656417,Bernauer Straße,Rein,W,96,U,mittel*,D,Reinickendorf
327,Oben ist es am Schönsten! Helle Familienwohnung!,https://www.immobilienscout24.de/expose/115227962,999.0,253.0,0.0,1252.0,Kaution: 2997.00,4,84.55,3,,,,,1995.0,,Saniert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 96, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),96,Reinickendorf,11.815493790656417,Bernauer Straße,Rein,W,96,G,mittel*,D,Reinickendorf
328,Tolle Single Wohnung,https://www.immobilienscout24.de/expose/115555807,279.71,104.0,44.0,427.71,83913,3,42.38,1,,,,,1962.0,,,Etagenheizung,"Öl, Strom",,Bedarfsausweis,,Vonovia SE . Postfach 44784 Bochum,"Herbststraße 30/32, 13409 Berlin, Reinickendorf (Reinickendorf)",Herbststraße,13409 Berlin,Reinickendorf (Reinickendorf),30,Reinickendorf,6.600047192071731,Herbststraße,Rein,W,30,U,einfach,Z,Reinickendorf
329,Tolle Single Wohnung,https://www.immobilienscout24.de/expose/115555807,279.71,104.0,44.0,427.71,83913,3,42.38,1,,,,,1962.0,,,Etagenheizung,"Öl, Strom",,Bedarfsausweis,,Vonovia SE . Postfach 44784 Bochum,"Herbststraße 30/32, 13409 Berlin, Reinickendorf (Reinickendorf)",Herbststraße,13409 Berlin,Reinickendorf (Reinickendorf),30,Reinickendorf,6.600047192071731,Herbststraße,Rein,W,30,G,einfach,Z,Reinickendorf
330,"Hausotterplatz -Gustav-Freytag-Oberschule! 1,5 Zimmerwohnung- 51 m² - 599€ warm",https://www.immobilienscout24.de/expose/115218928,495.0,104.0,0.0,599.0,3x Nettokaltmiete,1,50.7,"1,5",,,,,1913.0,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,126.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Amendestraße 81, 13409 Berlin, Reinickendorf (Reinickendorf)",Amendestraße,13409 Berlin,Reinickendorf (Reinickendorf),81,Reinickendorf,9.763313609467454,Amendestraße,Rein,W,81,F,einfach *,Z,Reinickendorf
331,Hausotterplatz -Gustav-Freytag-Oberschule! 1 Zimmerwohnung- 40 m² - 520€ warm - EG,https://www.immobilienscout24.de/expose/99999662,438.0,82.0,0.0,520.0,3x Nettokaltmiete,,40.0,1,,,,,1913.0,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,126.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Amendestraße 81, 13409 Berlin, Reinickendorf (Reinickendorf)",Amendestraße,13409 Berlin,Reinickendorf (Reinickendorf),81,Reinickendorf,10.95,Amendestraße,Rein,W,81,F,einfach *,Z,Reinickendorf
332,Seniorenwohnhaus Anmietung nur ab dem 50.Lebensjahr möglich,https://www.immobilienscout24.de/expose/115217298,353.6,146.14,0.0,499.74,Kaution: 1088.00,3,32.48,1,,,True,,1977.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Rohrdamm 56, 13629 Berlin, Siemensstadt (Spandau)",Rohrdamm,13629 Berlin,Siemensstadt (Spandau),56,Spandau,10.886699507389164,Rohrdamm,Span,W,56,F,einfach *,D,Spandau
333,Senioren-Wohnung mit WBS für ältere Menschen in Berlin Spandau zu vermieten!,https://www.immobilienscout24.de/expose/115203877,500.0,185.0,0.0,685.0,1500.00,4,67.78,2,1.0,1.0,,True,1995.0,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Berlinovo Immobilien Gesellschaft mbH Hallesches Ufer 74 - 76 10963 Berlin,"Kulbeweg 24a, 13587 Berlin, Spandau (Spandau)",Kulbeweg,13587 Berlin,Spandau (Spandau),24,Spandau,7.376807317792859,Kulbeweg,Span,W,24,G,mittel,D,Spandau
334,Am Schäfersee! - Schöne 2 Zimmerwohnung - Dielen - Duschbad -Kammer- 59qm - 608€ + HK,https://www.immobilienscout24.de/expose/115213388,504.0,104.0,0.0,608.0,3 x Nettokaltmieten,1,59.23,2,,,,,1907.0,,Modernisiert,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Holländerstraße 20, 13407 Berlin, Reinickendorf (Reinickendorf)",Holländerstraße,13407 Berlin,Reinickendorf (Reinickendorf),20,Reinickendorf,8.509201418200236,Holländerstraße,Rein,W,20,F,einfach *,Z,Reinickendorf
335,"*** VENERDI - BEFRISTET, MÖBLIERT, 2 ZIMMER, BALKON, WG MÖGLICH ***",https://www.immobilienscout24.de/expose/115183333,857.45,90.0,40.0,987.45,Kaution: 1176.00,4 von 5,69.71,2,,1.0,,,1905.0,,,,Erdgas schwer,liegt vor,Verbrauchsausweis,,venerdi service GmbH Thulestraße 12 13189 Berlin,"Thulestraße 12, 13189 Berlin, Pankow (Pankow)",Thulestraße,13189 Berlin,Pankow (Pankow),12,Pankow,12.30024386745087,Thulestraße,Pank,O,12,U,mittel,Z,Pankow
336,"*** VENERDI - BEFRISTET, MÖBLIERT, 2 ZIMMER, BALKON, WG MÖGLICH ***",https://www.immobilienscout24.de/expose/115183333,857.45,90.0,40.0,987.45,Kaution: 1176.00,4 von 5,69.71,2,,1.0,,,1905.0,,,,Erdgas schwer,liegt vor,Verbrauchsausweis,,venerdi service GmbH Thulestraße 12 13189 Berlin,"Thulestraße 12, 13189 Berlin, Pankow (Pankow)",Thulestraße,13189 Berlin,Pankow (Pankow),12,Pankow,12.30024386745087,Thulestraße,Pank,O,12,G,mittel,Z,Pankow
337,MÖBLIERTE geschmackvoll eingerichtete sonnige zwei Zimmer Wohlfühl-Wohnung Nähe Rosenthaler Platz,https://www.immobilienscout24.de/expose/115181861,1450.0,0.0,0.0,1450.0,2 NKM,2,44.0,2,1.0,1.0,,True,1897.0,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,131.0,Richter Immobilien,"Weinbergsweg 3, 10119 Berlin, Mitte (Mitte)",Weinbergsweg,10119 Berlin,Mitte (Mitte),3,Mitte,32.95454545454545,Weinbergsweg,Mitt,O,3,F,gut,Z,Mitte
338,Für hohe Ansprüche in Qualität und Ausstattung,https://www.immobilienscout24.de/expose/115187671,1592.0,149.25,89.0,1830.25,4700,5 von 6,99.5,3,2.0,2.0,True,True,2014.0,,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Boyenstraße 36, 10115 Berlin, Mitte (Mitte)",Boyenstraße,10115 Berlin,Mitte (Mitte),36,Mitte,16.0,Boyenstraße,Mitt,O,36,F,mittel,Z,Mitte
339,3-Zimmer Dachgeschosswohnung mit Terrasse,https://www.immobilienscout24.de/expose/115163065,1050.0,289.0,0.0,1339.0,Kaution: 3150.00,4,100.0,3,,,,,1918.0,,Vollständig renoviert,,Gas,,Bedarfsausweis,,Helvetica Services GmbH Kantstr. 115 10627 Berlin,"Halskesteig 7, 13629 Berlin, Siemensstadt (Spandau)",Halskesteig,13629 Berlin,Siemensstadt (Spandau),7,Spandau,10.5,Halskesteig,Span,W,7,F,einfach,Z,Spandau
340,"Helle, große Familienwohnung in Tegel, mit großer Terrasse!",https://www.immobilienscout24.de/expose/115127236,879.0,220.0,0.0,1079.0,Kaution: 2577.00,0,72.22,3,,,,,1995.0,,Modernisiert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 98, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),98,Reinickendorf,12.171143727499308,Bernauer Straße,Rein,W,98,U,mittel*,D,Reinickendorf
341,"Helle, große Familienwohnung in Tegel, mit großer Terrasse!",https://www.immobilienscout24.de/expose/115127236,879.0,220.0,0.0,1079.0,Kaution: 2577.00,0,72.22,3,,,,,1995.0,,Modernisiert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 98, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),98,Reinickendorf,12.171143727499308,Bernauer Straße,Rein,W,98,G,mittel,D,Reinickendorf
342,2 Zimmer Altbau mit EBK und Dielen in Pankow-Rosenthal,https://www.immobilienscout24.de/expose/115134669,813.05,145.0,0.0,958.05,2439.15,0 von 4,69.0,2,1.0,1.0,,True,1910.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Apart Berlin GmbH Kurfürstendamm 219 10719 Berlin,"Heegermühler Weg 33, 13158 Berlin, Niederschönhausen (Pankow)",Heegermühler Weg,13158 Berlin,Niederschönhausen (Pankow),33,Pankow,11.783333333333333,Heegermühler Weg,Pank,O,33,G,mittel,D,Pankow
343,2 Zimmer Altbau mit EBK und Dielen in Pankow-Rosenthal,https://www.immobilienscout24.de/expose/115134669,813.05,145.0,0.0,958.05,2439.15,0 von 4,69.0,2,1.0,1.0,,True,1910.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Apart Berlin GmbH Kurfürstendamm 219 10719 Berlin,"Heegermühler Weg 33, 13158 Berlin, Niederschönhausen (Pankow)",Heegermühler Weg,13158 Berlin,Niederschönhausen (Pankow),33,Pankow,11.783333333333333,Heegermühler Weg,Pank,O,33,U,mittel,D,Pankow
344,"Einzelapartment im Studio B (Studenten, Azubis und young professionals)",https://www.immobilienscout24.de/expose/114959551,617.0,108.0,,725.0,3 Monatsmieten,9,30.87,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.987042436022026,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
345,Einzelapartment frei im Studio B (für Studenten und Azubis),https://www.immobilienscout24.de/expose/114776222,601.0,120.0,,721.0,3 Monatskaltmieten,7,30.86,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.4750486066105,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
346,Schickes Einzelapartment für Studenten und Azubis,https://www.immobilienscout24.de/expose/114755104,658.0,110.0,,768.0,3 Monatsmieten,9,32.93,1,,,,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.98177953234133,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
347,Schickes Einzelapartment für Studenten und Azubis,https://www.immobilienscout24.de/expose/114779936,655.0,100.0,,765.0,3 Monatsmieten,11,31.84,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,20.571608040201006,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
348,"Renovierte 1 Zimmer Wohnung zum Jahresanfang, Studenten und Azubis Willkommen",https://www.immobilienscout24.de/expose/114688292,640.0,100.0,,740.0,3 Monatsmieten,3,32.93,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.43516550258123,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
349,Wohnung zum SS 2020 sichern/ geräumiges Studi-Apartment,https://www.immobilienscout24.de/expose/113983074,540.0,90.0,0.0,630.0,3 Monatskaltmieten,3 von 11,27.01,1,,,True,True,2016.0,,Neuwertig,Fußbodenheizung,,liegt zur Besichtigung vor,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.992595335061086,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
350,"Möblierte Wohnung direkt am Alex, für Studenten & Azubis",https://www.immobilienscout24.de/expose/111955636,521.0,100.0,,621.0,1473.00,8,24.58,1,,,,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,21.196094385679416,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
351,"Direkt am Alex - Wohnung mit EBK & toller Terrasse [Studenten, Azubis und young professionals]",https://www.immobilienscout24.de/expose/111955856,826.0,956.0,,130.0,2478.00,11,39.55,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,20.88495575221239,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
352,Studenten Willkommen - helles Zimmer mit Balkon direkt am Alex,https://www.immobilienscout24.de/expose/111605809,491.0,80.0,,571.0,3 Monatskaltmieten,6,24.58,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.97558991049634,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
353,PROVISIONSFREI 1 Zimmer Appartement ab 01.04.2020 - für Studenten und Azubis,https://www.immobilienscout24.de/expose/109227288,485.0,80.0,0.0,565.0,1455.00,3 von 11,24.58,1,,,True,True,2017.0,,Neuwertig,,,liegt zur Besichtigung vor,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,19.731489015459726,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
354,"1 Zimmer Appartement , möbliert , mit Balkon frei ab April 2020",https://www.immobilienscout24.de/expose/97450802,590.0,90.0,0.0,680.0,1770.00,9 von 11,26.35,1,1.0,1.0,True,True,,,Neuwertig,,,liegt zur Besichtigung vor,,,Immobilienverwaltung Riebeling GmbH,"Wadzeckstraße 4, 10178 Berlin, Mitte (Mitte)",Wadzeckstraße,10178 Berlin,Mitte (Mitte),4,Mitte,22.39089184060721,Wadzeckstraße,Mitt,O,4,F,mittel,Z,Mitte
355,Dezente Hülle trifft intensiven Kern; ein Haus mit reizvollem Innenleben....,https://www.immobilienscout24.de/expose/114969240,1638.0,180.0,,1818.0,3 Nettokaltmieten,0 von 2,117.0,3,2.0,1.0,,True,1924.0,,Erstbezug nach Sanierung,Etagenheizung,Erdgas leicht,liegt vor,Bedarfsausweis,,"Peggy Matusch, V-V-S-Management Skladanowskystr. 1 13156 Berlin","Ruppiner Chaussee 215, 13503 Berlin, Heiligensee (Reinickendorf)",Ruppiner Chaussee,13503 Berlin,Heiligensee (Reinickendorf),215,Reinickendorf,14.0,Ruppiner Chaussee,Rein,W,215,U,mittel,D,Reinickendorf
356,Die beste Adresse im Weitlingkiez!,https://www.immobilienscout24.de/expose/114973467,804.0,186.0,0.0,990.0,3 Nettokaltmieten,2 von 0,81.79,3,,,True,,1999.0,,,Zentralheizung,Gas,,Verbrauchsausweis,,Berlinhaus Verwaltung GmbH Friedrichstr. 30 10969 Berlin,"Weitlingstraße 71, 10317 Berlin, Lichtenberg (Lichtenberg)",Weitlingstraße,10317 Berlin,Lichtenberg (Lichtenberg),71,Lichtenberg,9.830052573664261,Weitlingstraße,Lich,O,71,U,mittel *,D,Lichtenberg
357,Die beste Adresse im Weitlingkiez!,https://www.immobilienscout24.de/expose/114973467,804.0,186.0,0.0,990.0,3 Nettokaltmieten,2 von 0,81.79,3,,,True,,1999.0,,,Zentralheizung,Gas,,Verbrauchsausweis,,Berlinhaus Verwaltung GmbH Friedrichstr. 30 10969 Berlin,"Weitlingstraße 71, 10317 Berlin, Lichtenberg (Lichtenberg)",Weitlingstraße,10317 Berlin,Lichtenberg (Lichtenberg),71,Lichtenberg,9.830052573664261,Weitlingstraße,Lich,O,71,G,mittel *,D,Lichtenberg
358,Großzügige Terrassenwohnung im Berliner Norden,https://www.immobilienscout24.de/expose/114851792,1121.4,170.0,60.0,1351.4,3364.20,0,74.76,"2,5",1.0,1.0,True,True,2018.0,,Erstbezug,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,STRABAG Residential Property Services GmbH Freiheit 6 13597 Berlin,"Provinzstraße 67, 13158 Berlin, Niederschönhausen (Pankow)",Provinzstraße,13158 Berlin,Niederschönhausen (Pankow),67,Pankow,15.0,Provinzstraße,Pank,O,67,F,mittel *,D,Pankow
359,Traumhaft Wohnen im Berliner Norden,https://www.immobilienscout24.de/expose/114634777,981.0,150.0,50.0,1181.0,2943.00,0,65.4,2,1.0,1.0,True,True,2018.0,,Erstbezug,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,STRABAG Residential Property Services GmbH Freiheit 6 13597 Berlin,"Provinzstraße 67, 13158 Berlin, Niederschönhausen (Pankow)",Provinzstraße,13158 Berlin,Niederschönhausen (Pankow),67,Pankow,14.999999999999998,Provinzstraße,Pank,O,67,F,mittel *,D,Pankow
360,Architektonisches Highlight nahe Friedrichstraße und Gendarmenmarkt,https://www.immobilienscout24.de/expose/114854877,1550.0,250.0,0.0,1800.0,3-fache der Netto-Kaltmiete,2 von 7,80.95,3,2.0,1.0,True,True,2013.0,,Gepflegt,Fußbodenheizung,KWK fossil,liegt vor,Bedarfsausweis,,"Bethke Immobilien GmbH Karlsruher Str. 4 10711 Berlin, Wilmersdorf","Charlottenstraße 19, 10117 Berlin, Mitte (Mitte)",Charlottenstraße,10117 Berlin,Mitte (Mitte),19,Mitte,19.147621988882026,Charlottenstraße,Mitt,O,19,F,mittel,Z,Mitte
361,*2-Zimmerwohnung*Balkon*Siemensstadt*,https://www.immobilienscout24.de/expose/114863628,742.63,102.0,,844.63,2227.89,3 von 4,69.75,2,,,,True,1910.0,2011.0,Gepflegt,Etagenheizung,Erdgas leicht,liegt vor,Bedarfsausweis,,Vigor Haus- und Grundstücksverwaltung GmbH Möllendorffstr. 43 10367 Berlin,"Nonnendammallee 87, 13629 Berlin, Siemensstadt (Spandau)",Nonnendammallee,13629 Berlin,Siemensstadt (Spandau),87,Spandau,10.647025089605735,Nonnendammallee,Span,W,87,F,einfach *,Z,Spandau
362,"Fort Hahneberg, begehrte Stadtrandlage",https://www.immobilienscout24.de/expose/114788524,595.0,75.0,75.0,745.0,1875,3 von 4,50.0,2,1.0,1.0,,,,,Neuwertig,Zentralheizung,Gas,liegt zur Besichtigung vor,,,Inseriert auf ohne-makler.net,"Nennhauser Damm 132, 13591 Berlin, Staaken (Spandau)",Nennhauser Damm,13591 Berlin,Staaken (Spandau),132,Spandau,11.9,Nennhauser Damm,Span,O,132,U,einfach *,D,Spandau
363,"Fort Hahneberg, begehrte Stadtrandlage",https://www.immobilienscout24.de/expose/114788524,595.0,75.0,75.0,745.0,1875,3 von 4,50.0,2,1.0,1.0,,,,,Neuwertig,Zentralheizung,Gas,liegt zur Besichtigung vor,,,Inseriert auf ohne-makler.net,"Nennhauser Damm 132, 13591 Berlin, Staaken (Spandau)",Nennhauser Damm,13591 Berlin,Staaken (Spandau),132,Spandau,11.9,Nennhauser Damm,Span,O,132,G,einfach,D,Spandau
364,Stiegenhaus 22. Traumhafter Erstbezug.,https://www.immobilienscout24.de/expose/114808437,1695.83,226.11,111.16,2033.1,508749,,113.06,4,,2.0,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,14.999380859720501,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
365,Stiegenhaus 21 - Sonne pur. Erstbezug.,https://www.immobilienscout24.de/expose/114808433,1776.53,236.87,125.28,2138.68,532959,,118.44,4,,2.0,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,14.999408983451536,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
366,Mehrere Erstbezüge mit viel Platz.,https://www.immobilienscout24.de/expose/114811734,1412.95,194.89,113.09,1720.93,423885,,97.45,4,,2.0,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,14.499230374551052,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
367,Perfekt geschnitten. Erstbezug.,https://www.immobilienscout24.de/expose/114759303,713.26,98.38,56.42,868.06,213978,,49.19,2,,,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,14.500101646676153,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
368,Unverbauter Blick. Erstbezug.,https://www.immobilienscout24.de/expose/114759309,1107.76,136.34,76.63,1320.73,332328,,68.17,2,,,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,16.249963326976676,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
369,Ein neues Lebensgefühl. Erstbezug.,https://www.immobilienscout24.de/expose/114759296,1169.14,164.09,95.87,1429.1,350742,,82.05,"3,5",,,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 5, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),5,Lichtenberg,14.249116392443634,Löwenberger Straße,Lich,O,5,U,einfach *,D,Lichtenberg
370,"Einsames, süßes, helles 1,5 Zimmer-Apartment. Ab sofort!",https://www.immobilienscout24.de/expose/114734155,599.0,150.0,0.0,749.0,Kaution: 1797.00,3,44.54,"1,5",,,True,,1996.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Rosenthaler Weg 24A, 13127 Berlin, Französisch Buchholz (Pankow)",Rosenthaler Weg,13127 Berlin,Französisch Buchholz (Pankow),24,Pankow,13.448585541086665,Rosenthaler Weg,Pank,O,24,G,mittel *,D,Pankow
371,"Einsames, süßes, helles 1,5 Zimmer-Apartment. Ab sofort!",https://www.immobilienscout24.de/expose/114734155,599.0,150.0,0.0,749.0,Kaution: 1797.00,3,44.54,"1,5",,,True,,1996.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Rosenthaler Weg 24A, 13127 Berlin, Französisch Buchholz (Pankow)",Rosenthaler Weg,13127 Berlin,Französisch Buchholz (Pankow),24,Pankow,13.448585541086665,Rosenthaler Weg,Pank,O,24,U,mittel *,D,Pankow
372,Schöne Familienwohnung im Grünen! Ab 15.02.2020!,https://www.immobilienscout24.de/expose/114695918,879.0,190.0,0.0,1069.0,Kaution: 2637.00,1,75.84,3,,,,,1996.0,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Arnouxstraße 29, 13127 Berlin, Französisch Buchholz (Pankow)",Arnouxstraße,13127 Berlin,Französisch Buchholz (Pankow),29,Pankow,11.590189873417721,Arnouxstraße,Pank,O,29,G,mittel,D,Pankow
373,Schöne Familienwohnung im Grünen! Ab 15.02.2020!,https://www.immobilienscout24.de/expose/114695918,879.0,190.0,0.0,1069.0,Kaution: 2637.00,1,75.84,3,,,,,1996.0,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Arnouxstraße 29, 13127 Berlin, Französisch Buchholz (Pankow)",Arnouxstraße,13127 Berlin,Französisch Buchholz (Pankow),29,Pankow,11.590189873417721,Arnouxstraße,Pank,O,29,U,mittel,D,Pankow
374,"Traumhafte, vollmöblierte 3-Zi-Wohnung mit Erker und Vollbad in TOP-Lage",https://www.immobilienscout24.de/expose/114658088,1495.0,240.0,130.0,1865.0,3 x NKM,1 von 5,87.13,3,2.0,1.0,True,True,1900.0,,Neuwertig,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,Bewocon - Berliner Wohnbau Consult GmbH Leipziger Platz 10 10117 Berlin,"Torstraße 72, 10119 Berlin, Mitte (Mitte)",Torstraße,10119 Berlin,Mitte (Mitte),72,Mitte,17.158269252840583,Torstraße,Mitt,O,72,G,mittel *,Z,Mitte
375,"Traumhafte, vollmöblierte Dachgeschosswohnung mit Nord- und Südterrasse & Blick auf Fernsehturm",https://www.immobilienscout24.de/expose/113736012,2849.0,350.0,0.0,3349.0,3 x NKM,5 von 5,145.0,4,2.0,1.0,True,True,1900.0,,Neuwertig,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,Bewocon - Berliner Wohnbau Consult GmbH Leipziger Platz 10 10117 Berlin,"Torstraße 72, 10119 Berlin, Mitte (Mitte)",Torstraße,10119 Berlin,Mitte (Mitte),72,Mitte,19.648275862068967,Torstraße,Mitt,O,72,G,mittel *,Z,Mitte
