,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
30,Verfügbar ab 01.03.2020: 3-Zimmer-Wohnung mit Loggia und Balkon,https://www.immobilienscout24.de/expose/115511078,1060.0,250.0,0.0,1310.0,3180,2 von 4,82.66,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.823614807645779,Nantesstraße,Pank,O,76,U,mittel,D,Pankow
31,Verfügbar ab 01.03.2020: 3-Zimmer-Wohnung mit Loggia und Balkon,https://www.immobilienscout24.de/expose/115511078,1060.0,250.0,0.0,1310.0,3180,2 von 4,82.66,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.823614807645779,Nantesstraße,Pank,O,76,G,mittel,D,Pankow
32,Ideal für Singles und Paare: 2-Zimmer-Wohnung in Pankow mit guter Verkehrsanbindung,https://www.immobilienscout24.de/expose/115343486,600.0,140.0,0.0,740.0,1800,,46.27,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.967365463583315,Nantesstraße,Pank,O,76,U,mittel,D,Pankow
33,Ideal für Singles und Paare: 2-Zimmer-Wohnung in Pankow mit guter Verkehrsanbindung,https://www.immobilienscout24.de/expose/115343486,600.0,140.0,0.0,740.0,1800,,46.27,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.967365463583315,Nantesstraße,Pank,O,76,G,mittel,D,Pankow
34,Großzügige 2-Zimmerwohnung im schönen Altbau mit WIntergarten,https://www.immobilienscout24.de/expose/115305408,1000.0,139.0,53.0,1192.0,3000.00,2,80.0,2,1.0,1.0,,,1906.0,,Gepflegt,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Provinzstraße 92, 13409 Berlin, Reinickendorf (Reinickendorf)",Provinzstraße,13409 Berlin,Reinickendorf (Reinickendorf),92,Reinickendorf,12.5,Provinzstraße,Rein,W,92,F,einfach *,Z,Reinickendorf
35,Sanierte großzügige 5-Zimmer Altbau-Komfortwohnung in der Sophienstraße,https://www.immobilienscout24.de/expose/115041138,2902.46,324.53,0.0,3226.99,3 Monatsnettokaltmieten,1,131.93,5,4.0,1.0,,True,1879.0,2020.0,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Sophienstraße 9, 10178 Berlin, Mitte (Mitte)",Sophienstraße,10178 Berlin,Mitte (Mitte),9,Mitte,22.0,Sophienstraße,Mitt,O,9,F,gut,Z,Mitte
36,Ruhiges Maisonette-Dachgeschoß mit großer Südwestterrasse in der Sophienstraße,https://www.immobilienscout24.de/expose/114370816,1901.5,134.0,90.0,2125.5,5400.00,3,86.42,3,1.0,1.0,,True,1879.0,2019.0,Neuwertig,Zentralheizung,,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Sophienstraße 9, 10178 Berlin, Mitte (Mitte)",Sophienstraße,10178 Berlin,Mitte (Mitte),9,Mitte,22.003008562832676,Sophienstraße,Mitt,O,9,F,gut,Z,Mitte
37,Möbliertes Design Apartment nahe Gendarmenmarkt -Maisonette-Klima-Sauna-offener Kamin-,https://www.immobilienscout24.de/expose/115043900,5981.0,675.0,0.0,6656.0,3 Monatsnettokaltmieten,8,225.0,5,3.0,3.0,True,True,2000.0,2018.0,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Behrenstraße 28, 10117 Berlin, Mitte (Mitte)",Behrenstraße,10117 Berlin,Mitte (Mitte),28,Mitte,26.58222222222222,Behrenstraße,Mitt,O,28,F,gut,Z,Mitte
38,Luxuriöse Maisonette-Wohnung in Berlins Stadtmitte!,https://www.immobilienscout24.de/expose/115240250,2300.0,579.0,0.0,2879.0,6900.00,8 von 8,167.0,3,1.0,1.0,True,True,1999.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Behrenstraße 28, 10117 Berlin, Mitte (Mitte)",Behrenstraße,10117 Berlin,Mitte (Mitte),28,Mitte,13.77245508982036,Behrenstraße,Mitt,O,28,F,gut,Z,Mitte
39,Gemütliches Apartment im ruhigen Seitenflügel,https://www.immobilienscout24.de/expose/115201028,450.0,60.0,0.0,510.0,3 Nettokaltmieten,3 von 4,38.86,1,1.0,1.0,,True,1908.0,,Gepflegt,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Kurstraße 15, 13585 Berlin, Spandau (Spandau)",Kurstraße,13585 Berlin,Spandau (Spandau),15,Spandau,11.580030880082347,Kurstraße,Span,W,15,F,einfach,D,Spandau
40,Geräumige Dachgeschosswohnung! Ab Sofort!,https://www.immobilienscout24.de/expose/114745592,790.0,120.0,0.0,910.0,3 Nettokaltmieten,4 von 4,76.89,2,1.0,1.0,,True,1908.0,,Gepflegt,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Kurstraße 15, 13585 Berlin, Spandau (Spandau)",Kurstraße,13585 Berlin,Spandau (Spandau),15,Spandau,10.274417999739889,Kurstraße,Span,W,15,F,einfach,D,Spandau
41,Erstbezug nach Sanierung: 2-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + Balkon in Mitte,https://www.immobilienscout24.de/expose/113582318,1602.13,274.65,0.0,1876.78,3 Nettokaltmieten,2 von 4,91.55,2,1.0,1.0,True,True,1914.0,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)",Habersaathstraße,10115 Berlin,Mitte (Mitte),15,Mitte,17.5000546149645,Habersaathstraße,Mitt,O,15,U,mittel,Z,Mitte
42,Erstbezug nach Sanierung: 2-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + Balkon in Mitte,https://www.immobilienscout24.de/expose/113582318,1602.13,274.65,0.0,1876.78,3 Nettokaltmieten,2 von 4,91.55,2,1.0,1.0,True,True,1914.0,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)",Habersaathstraße,10115 Berlin,Mitte (Mitte),15,Mitte,17.5000546149645,Habersaathstraße,Mitt,O,15,G,mittel,Z,Mitte
43,Erstbezug nach Sanierung: 3-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + 2 Balkonen in Mitte,https://www.immobilienscout24.de/expose/113582322,2058.0,352.8,0.0,2410.8,3 Nettokalt-Mieten,3 von 5,117.6,3,2.0,1.0,True,True,1914.0,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)",Habersaathstraße,10115 Berlin,Mitte (Mitte),15,Mitte,17.5,Habersaathstraße,Mitt,O,15,U,mittel,Z,Mitte
